Row Labels,Sum of cases,,,,,,,,,,,,,
Georgia,2785,,,,,,,,,,,,,
Cannon,2589,,,,,,,,,,,,,
Tennessee,2589,,,,,,,,,,,,,
Canovanas,7949,,,,,,,,,,,,,
Puerto Rico,7949,,,,,,,,,,,,,
Canyon,66873,,,,,,,,,,,,,
Idaho,66873,,,,,,,,,,,,,
Cape Girardeau,12146,,,,,,,,,,,,,
Missouri,12146,,,,,,,,,,,,,
Cape May,55375,,,,,,,,,,,,,
New Jersey,55375,,,,,,,,,,,,,
Carbon,27652,,,,,,,,,,,,,
Montana,1279,,,,,,,,,,,,,
Pennsylvania,23636,,,,,,,,,,,,,
Utah,1090,,,,,,,,,,,,,
Wyoming,1647,,,,,,,,,,,,,
Caribou,660,,,,,,,,,,,,,
Idaho,660,,,,,,,,,,,,,
Carlisle,460,,,,,,,,,,,,,
Kentucky,460,,,,,,,,,,,,,
Carlton,7139,,,,,,,,,,,,,
Minnesota,7139,,,,,,,,,,,,,
Carolina,19893,,,,,,,,,,,,,
Puerto Rico,19893,,,,,,,,,,,,,
Caroline,29449,,,,,,,,,,,,,
Maryland,21769,,,,,,,,,,,,,
Virginia,7680,,,,,,,,,,,,,
Carroll,202434,,,,,,,,,,,,,
Arkansas,7508,,,,,,,,,,,,,
Georgia,60137,,,,,,,,,,,,,
Illinois,1548,,,,,,,,,,,,,
Indiana,7811,,,,,,,,,,,,,
Iowa,3876,,,,,,,,,,,,,
Kentucky,2393,,,,,,,,,,,,,
Maryland,83586,,,,,,,,,,,,,
Mississippi,11032,,,,,,,,,,,,,
Missouri,1063,,,,,,,,,,,,,
New Hampshire,4967,,,,,,,,,,,,,
Ohio,3724,,,,,,,,,,,,,
Tennessee,3238,,,,,,,,,,,,,
Virginia,11551,,,,,,,,,,,,,
Carson,501,,,,,,,,,,,,,
Texas,501,,,,,,,,,,,,,
Carson City,10636,,,,,,,,,,,,,
Nevada,10636,,,,,,,,,,,,,
Carter,11525,,,,,,,,,,,,,
Kentucky,1709,,,,,,,,,,,,,
Missouri,520,,,,,,,,,,,,,
Oklahoma,5690,,,,,,,,,,,,,
Tennessee,3606,,,,,,,,,,,,,
Carteret,5825,,,,,,,,,,,,,
North Carolina,5825,,,,,,,,,,,,,
Carver,21472,,,,,,,,,,,,,
Minnesota,21472,,,,,,,,,,,,,
Cascade,2521,,,,,,,,,,,,,
Montana,2521,,,,,,,,,,,,,
Casey,1873,,,,,,,,,,,,,
Kentucky,1873,,,,,,,,,,,,,
Cass,324182,,,,,,,,,,,,,
Illinois,7563,,,,,,,,,,,,,
Indiana,134832,,,,,,,,,,,,,
Iowa,1108,,,,,,,,,,,,,
Michigan,9419,,,,,,,,,,,,,
Minnesota,1160,,,,,,,,,,,,,
Missouri,12151,,,,,,,,,,,,,
Nebraska,4305,,,,,,,,,,,,,
North Dakota,150454,,,,,,,,,,,,,
Texas,3190,,,,,,,,,,,,,
Cassia,11779,,,,,,,,,,,,,
Idaho,11779,,,,,,,,,,,,,
Castro,4976,,,,,,,,,,,,,
Texas,4976,,,,,,,,,,,,,
Caswell,7886,,,,,,,,,,,,,
North Carolina,7886,,,,,,,,,,,,,
Catahoula,11866,,,,,,,,,,,,,
Louisiana,11866,,,,,,,,,,,,,
Catano,2810,,,,,,,,,,,,,
Puerto Rico,2810,,,,,,,,,,,,,
Catawba,41225,,,,,,,,,,,,,
North Carolina,41225,,,,,,,,,,,,,
Catoosa,17020,,,,,,,,,,,,,
Georgia,17020,,,,,,,,,,,,,
Catron,202,,,,,,,,,,,,,
New Mexico,202,,,,,,,,,,,,,
Cattaraugus,8829,,,,,,,,,,,,,
New York,8829,,,,,,,,,,,,,
Cavalier,276,,,,,,,,,,,,,
North Dakota,276,,,,,,,,,,,,,
Cayey,6188,,,,,,,,,,,,,
Puerto Rico,6188,,,,,,,,,,,,,
Cayuga,8569,,,,,,,,,,,,,
New York,8569,,,,,,,,,,,,,
Cecil,35368,,,,,,,,,,,,,
Maryland,35368,,,,,,,,,,,,,
Cedar,7349,,,,,,,,,,,,,
Iowa,5538,,,,,,,,,,,,,
Missouri,967,,,,,,,,,,,,,
Nebraska,844,,,,,,,,,,,,,
Ceiba,1643,,,,,,,,,,,,,
Puerto Rico,1643,,,,,,,,,,,,,
Centre,16198,,,,,,,,,,,,,
Pennsylvania,16198,,,,,,,,,,,,,
Cerro Gordo,8082,,,,,,,,,,,,,
Iowa,8082,,,,,,,,,,,,,
Chaffee,7955,,,,,,,,,,,,,
Colorado,7955,,,,,,,,,,,,,
Chambers,61597,,,,,,,,,,,,,
Alabama,44180,,,,,,,,,,,,,
Texas,17417,,,,,,,,,,,,,
Champaign,60887,,,,,,,,,,,,,
Illinois,57926,,,,,,,,,,,,,
Ohio,2961,,,,,,,,,,,,,
Chariton,638,,,,,,,,,,,,,
Missouri,638,,,,,,,,,,,,,
Charles,103978,,,,,,,,,,,,,
Maryland,103978,,,,,,,,,,,,,
Charles City,2766,,,,,,,,,,,,,
Virginia,2766,,,,,,,,,,,,,
Charles Mix,3423,,,,,,,,,,,,,
South Dakota,3423,,,,,,,,,,,,,
Charleston,217585,,,,,,,,,,,,,
South Carolina,217585,,,,,,,,,,,,,
Charlevoix,2227,,,,,,,,,,,,,
Michigan,2227,,,,,,,,,,,,,
Charlotte,56229,,,,,,,,,,,,,
Florida,54044,,,,,,,,,,,,,
Virginia,2185,,,,,,,,,,,,,
Charlottesville city,13812,,,,,,,,,,,,,
Virginia,13812,,,,,,,,,,,,,
Charlton,4198,,,,,,,,,,,,,
Georgia,4198,,,,,,,,,,,,,
Chase,386,,,,,,,,,,,,,
Kansas,325,,,,,,,,,,,,,
Nebraska,61,,,,,,,,,,,,,
Chatham,150125,,,,,,,,,,,,,
Georgia,86336,,,,,,,,,,,,,
North Carolina,63789,,,,,,,,,,,,,
Chattahoochee,18011,,,,,,,,,,,,,
Georgia,18011,,,,,,,,,,,,,
Chattooga,3588,,,,,,,,,,,,,
Georgia,3588,,,,,,,,,,,,,
Chautauqua,9241,,,,,,,,,,,,,
Kansas,426,,,,,,,,,,,,,
New York,8815,,,,,,,,,,,,,
Chaves,6555,,,,,,,,,,,,,
New Mexico,6555,,,,,,,,,,,,,
Cheatham,13731,,,,,,,,,,,,,
Tennessee,13731,,,,,,,,,,,,,
Cheboygan,2325,,,,,,,,,,,,,
Michigan,2325,,,,,,,,,,,,,
Chelan,26828,,,,,,,,,,,,,
Washington,26828,,,,,,,,,,,,,
Chemung,13354,,,,,,,,,,,,,
New York,13354,,,,,,,,,,,,,
Chenango,13102,,,,,,,,,,,,,
New York,13102,,,,,,,,,,,,,
Cherokee,133648,,,,,,,,,,,,,
Alabama,5201,,,,,,,,,,,,,
Georgia,95807,,,,,,,,,,,,,
Iowa,3694,,,,,,,,,,,,,
Kansas,1919,,,,,,,,,,,,,
North Carolina,3249,,,,,,,,,,,,,
Oklahoma,5310,,,,,,,,,,,,,
South Carolina,8663,,,,,,,,,,,,,
Texas,9805,,,,,,,,,,,,,
Cherry,137,,,,,,,,,,,,,
Nebraska,137,,,,,,,,,,,,,
Chesapeake city,61739,,,,,,,,,,,,,
Virginia,61739,,,,,,,,,,,,,
Cheshire,5580,,,,,,,,,,,,,
New Hampshire,5580,,,,,,,,,,,,,
Chester,282259,,,,,,,,,,,,,
Pennsylvania,268658,,,,,,,,,,,,,
South Carolina,11267,,,,,,,,,,,,,
Tennessee,2334,,,,,,,,,,,,,
Chesterfield,191493,,,,,,,,,,,,,
South Carolina,21572,,,,,,,,,,,,,
Virginia,169921,,,,,,,,,,,,,
Cheyenne,1677,,,,,,,,,,,,,
Colorado,376,,,,,,,,,,,,,
Kansas,165,,,,,,,,,,,,,
Nebraska,1136,,,,,,,,,,,,,
Chickasaw,17240,,,,,,,,,,,,,
Iowa,1436,,,,,,,,,,,,,
Mississippi,15804,,,,,,,,,,,,,
Chicot,6475,,,,,,,,,,,,,
Arkansas,6475,,,,,,,,,,,,,
Childress,366,,,,,,,,,,,,,
Texas,366,,,,,,,,,,,,,
Chilton,14503,,,,,,,,,,,,,
Alabama,14503,,,,,,,,,,,,,
Chippewa,11192,,,,,,,,,,,,,
Michigan,659,,,,,,,,,,,,,
Minnesota,4223,,,,,,,,,,,,,
Wisconsin,6310,,,,,,,,,,,,,
Chisago,5729,,,,,,,,,,,,,
Minnesota,5729,,,,,,,,,,,,,
Chittenden,54473,,,,,,,,,,,,,
Vermont,54473,,,,,,,,,,,,,
Choctaw,23411,,,,,,,,,,,,,
Alabama,12919,,,,,,,,,,,,,
Mississippi,4506,,,,,,,,,,,,,
Oklahoma,5986,,,,,,,,,,,,,
Chowan,1777,,,,,,,,,,,,,
North Carolina,1777,,,,,,,,,,,,,
Christian,24326,,,,,,,,,,,,,
Illinois,3896,,,,,,,,,,,,,
Kentucky,16457,,,,,,,,,,,,,
Missouri,3973,,,,,,,,,,,,,
Churchill,1027,,,,,,,,,,,,,
Nevada,1027,,,,,,,,,,,,,
Ciales,3036,,,,,,,,,,,,,
Puerto Rico,3036,,,,,,,,,,,,,
Cibola,14567,,,,,,,,,,,,,
New Mexico,14567,,,,,,,,,,,,,
Cidra,4438,,,,,,,,,,,,,
Puerto Rico,4438,,,,,,,,,,,,,
Cimarron,91,,,,,,,,,,,,,
Oklahoma,91,,,,,,,,,,,,,
Citrus,21704,,,,,,,,,,,,,
Florida,21704,,,,,,,,,,,,,
Clackamas,47408,,,,,,,,,,,,,
Oregon,47408,,,,,,,,,,,,,
Claiborne,23135,,,,,,,,,,,,,
Louisiana,8608,,,,,,,,,,,,,
Mississippi,12303,,,,,,,,,,,,,
Tennessee,2224,,,,,,,,,,,,,
Clallam,3068,,,,,,,,,,,,,
Washington,3068,,,,,,,,,,,,,
Clare,2030,,,,,,,,,,,,,
Michigan,2030,,,,,,,,,,,,,
Clarendon,31796,,,,,,,,,,,,,
South Carolina,31796,,,,,,,,,,,,,
Clarion,3235,,,,,,,,,,,,,
Pennsylvania,3235,,,,,,,,,,,,,
Clark,1157744,,,,,,,,,,,,,
Arkansas,4884,,,,,,,,,,,,,
Idaho,2,,,,,,,,,,,,,
Illinois,1375,,,,,,,,,,,,,
Indiana,49062,,,,,,,,,,,,,
Kansas,2330,,,,,,,,,,,,,
Kentucky,5799,,,,,,,,,,,,,
Missouri,138,,,,,,,,,,,,,
Nevada,987484,,,,,,,,,,,,,
Ohio,36637,,,,,,,,,,,,,
South Dakota,703,,,,,,,,,,,,,
Washington,64493,,,,,,,,,,,,,
Wisconsin,4837,,,,,,,,,,,,,
Clarke,76948,,,,,,,,,,,,,
Alabama,15224,,,,,,,,,,,,,
Georgia,38938,,,,,,,,,,,,,
Iowa,6276,,,,,,,,,,,,,
Mississippi,13454,,,,,,,,,,,,,
Virginia,3056,,,,,,,,,,,,,
Clatsop,3695,,,,,,,,,,,,,
Oregon,3695,,,,,,,,,,,,,
Clay,167909,,,,,,,,,,,,,
Alabama,3874,,,,,,,,,,,,,
Arkansas,2442,,,,,,,,,,,,,
Florida,57770,,,,,,,,,,,,,
Georgia,4161,,,,,,,,,,,,,
Illinois,244,,,,,,,,,,,,,
Indiana,4307,,,,,,,,,,,,,
Iowa,5487,,,,,,,,,,,,,
Kansas,600,,,,,,,,,,,,,
Kentucky,2529,,,,,,,,,,,,,
Minnesota,38306,,,,,,,,,,,,,
Mississippi,13629,,,,,,,,,,,,,
Missouri,25449,,,,,,,,,,,,,
Nebraska,2010,,,,,,,,,,,,,
North Carolina,832,,,,,,,,,,,,,
South Dakota,4036,,,,,,,,,,,,,
Tennessee,1067,,,,,,,,,,,,,
Texas,609,,,,,,,,,,,,,
West Virginia,557,,,,,,,,,,,,,
Clayton,147993,,,,,,,,,,,,,
Georgia,144933,,,,,,,,,,,,,
Iowa,3060,,,,,,,,,,,,,
Clear Creek,1765,,,,,,,,,,,,,
Colorado,1765,,,,,,,,,,,,,
Clearfield,4645,,,,,,,,,,,,,
Pennsylvania,4645,,,,,,,,,,,,,
Clearwater,609,,,,,,,,,,,,,
Idaho,101,,,,,,,,,,,,,
Minnesota,508,,,,,,,,,,,,,
Cleburne,12022,,,,,,,,,,,,,
Alabama,2358,,,,,,,,,,,,,
Arkansas,9664,,,,,,,,,,,,,
Clermont,23675,,,,,,,,,,,,,
Ohio,23675,,,,,,,,,,,,,
Cleveland,88190,,,,,,,,,,,,,
Arkansas,2073,,,,,,,,,,,,,
North Carolina,17998,,,,,,,,,,,,,
Oklahoma,68119,,,,,,,,,,,,,
Clinch,6070,,,,,,,,,,,,,
Georgia,6070,,,,,,,,,,,,,
Clinton,83854,,,,,,,,,,,,,
Illinois,17357,,,,,,,,,,,,,
Indiana,18532,,,,,,,,,,,,,
Iowa,7624,,,,,,,,,,,,,
Kentucky,464,,,,,,,,,,,,,
Michigan,18189,,,,,,,,,,,,,
Missouri,2057,,,,,,,,,,,,,
New York,9168,,,,,,,,,,,,,
Ohio,4971,,,,,,,,,,,,,
Pennsylvania,5492,,,,,,,,,,,,,
Cloud,905,,,,,,,,,,,,,
Kansas,905,,,,,,,,,,,,,
Coahoma,13471,,,,,,,,,,,,,
Mississippi,13471,,,,,,,,,,,,,
Coal,406,,,,,,,,,,,,,
Oklahoma,406,,,,,,,,,,,,,
Coamo,2332,,,,,,,,,,,,,
Puerto Rico,2332,,,,,,,,,,,,,
Cobb,352950,,,,,,,,,,,,,
Georgia,352950,,,,,,,,,,,,,
Cochise,30395,,,,,,,,,,,,,
Arizona,30395,,,,,,,,,,,,,
Cochran,168,,,,,,,,,,,,,
Texas,168,,,,,,,,,,,,,
Cocke,4461,,,,,,,,,,,,,
Tennessee,4461,,,,,,,,,,,,,
Coconino,125382,,,,,,,,,,,,,
Arizona,125382,,,,,,,,,,,,,
Codington,4220,,,,,,,,,,,,,
South Dakota,4220,,,,,,,,,,,,,
Coffee,68248,,,,,,,,,,,,,
Alabama,24223,,,,,,,,,,,,,
Georgia,36081,,,,,,,,,,,,,
Tennessee,7944,,,,,,,,,,,,,
Coffey,5423,,,,,,,,,,,,,
Kansas,5423,,,,,,,,,,,,,
Coke,244,,,,,,,,,,,,,
Texas,244,,,,,,,,,,,,,
Colbert,22102,,,,,,,,,,,,,
Alabama,22102,,,,,,,,,,,,,
Cole,7503,,,,,,,,,,,,,
Missouri,7503,,,,,,,,,,,,,
Coleman,244,,,,,,,,,,,,,
Texas,244,,,,,,,,,,,,,
Coles,10751,,,,,,,,,,,,,
Illinois,10751,,,,,,,,,,,,,
Colfax,48144,,,,,,,,,,,,,
Nebraska,47501,,,,,,,,,,,,,
New Mexico,643,,,,,,,,,,,,,
Colleton,17421,,,,,,,,,,,,,
South Carolina,17421,,,,,,,,,,,,,
Collier,246577,,,,,,,,,,,,,
Florida,246577,,,,,,,,,,,,,
Collin,192013,,,,,,,,,,,,,
Texas,192013,,,,,,,,,,,,,
Collingsworth,373,,,,,,,,,,,,,
Texas,373,,,,,,,,,,,,,
Colonial Heights city,9527,,,,,,,,,,,,,
Virginia,9527,,,,,,,,,,,,,
Colorado,4976,,,,,,,,,,,,,
Texas,4976,,,,,,,,,,,,,
Colquitt,56673,,,,,,,,,,,,,
Georgia,56673,,,,,,,,,,,,,
Columbia,141800,,,,,,,,,,,,,
Arkansas,3992,,,,,,,,,,,,,
Florida,23271,,,,,,,,,,,,,
Georgia,35599,,,,,,,,,,,,,
New York,35792,,,,,,,,,,,,,
Oregon,2432,,,,,,,,,,,,,
Pennsylvania,34343,,,,,,,,,,,,,
Washington,340,,,,,,,,,,,,,
Wisconsin,6031,,,,,,,,,,,,,
Columbiana,73894,,,,,,,,,,,,,
Ohio,73894,,,,,,,,,,,,,
Columbus,33772,,,,,,,,,,,,,
North Carolina,33772,,,,,,,,,,,,,
Colusa,2886,,,,,,,,,,,,,
California,2886,,,,,,,,,,,,,
Comal,36387,,,,,,,,,,,,,
Texas,36387,,,,,,,,,,,,,
Comanche,29353,,,,,,,,,,,,,
Kansas,128,,,,,,,,,,,,,
Oklahoma,28022,,,,,,,,,,,,,
Texas,1203,,,,,,,,,,,,,
Comerio,2637,,,,,,,,,,,,,
Puerto Rico,2637,,,,,,,,,,,,,
Concho,384,,,,,,,,,,,,,
Texas,384,,,,,,,,,,,,,
Concordia,8327,,,,,,,,,,,,,
Louisiana,8327,,,,,,,,,,,,,
Conecuh,8633,,,,,,,,,,,,,
Alabama,8633,,,,,,,,,,,,,
Conejos,596,,,,,,,,,,,,,
Colorado,596,,,,,,,,,,,,,
Contra Costa,208668,,,,,,,,,,,,,
California,208668,,,,,,,,,,,,,
Converse,2371,,,,,,,,,,,,,
Wyoming,2371,,,,,,,,,,,,,
Conway,3173,,,,,,,,,,,,,
Arkansas,3173,,,,,,,,,,,,,
Cook,6916368,,,,,,,,,,,,,
Georgia,8333,,,,,,,,,,,,,
Illinois,6907997,,,,,,,,,,,,,
Minnesota,38,,,,,,,,,,,,,
Cooke,2881,,,,,,,,,,,,,
Texas,2881,,,,,,,,,,,,,
Cooper,1259,,,,,,,,,,,,,
Missouri,1259,,,,,,,,,,,,,
Coos,3612,,,,,,,,,,,,,
New Hampshire,521,,,,,,,,,,,,,
Oregon,3091,,,,,,,,,,,,,
Coosa,4264,,,,,,,,,,,,,
Alabama,4264,,,,,,,,,,,,,
Copiah,33365,,,,,,,,,,,,,
Mississippi,33365,,,,,,,,,,,,,
Corozal,3097,,,,,,,,,,,,,
Puerto Rico,3097,,,,,,,,,,,,,
Corson,822,,,,,,,,,,,,,
South Dakota,822,,,,,,,,,,,,,
Cortland,4143,,,,,,,,,,,,,
New York,4143,,,,,,,,,,,,,
Coryell,25018,,,,,,,,,,,,,
Texas,25018,,,,,,,,,,,,,
Coshocton,5446,,,,,,,,,,,,,
Ohio,5446,,,,,,,,,,,,,
Costilla,1061,,,,,,,,,,,,,
Colorado,1061,,,,,,,,,,,,,
Cottle,326,,,,,,,,,,,,,
Texas,326,,,,,,,,,,,,,
Cotton,637,,,,,,,,,,,,,
Oklahoma,637,,,,,,,,,,,,,
Cottonwood,7856,,,,,,,,,,,,,
Minnesota,7856,,,,,,,,,,,,,
Covington,35327,,,,,,,,,,,,,
Alabama,16484,,,,,,,,,,,,,
Mississippi,18843,,,,,,,,,,,,,
Covington city,277,,,,,,,,,,,,,
Virginia,277,,,,,,,,,,,,,
Coweta,46472,,,,,,,,,,,,,
Georgia,46472,,,,,,,,,,,,,
Cowley,3061,,,,,,,,,,,,,
Kansas,3061,,,,,,,,,,,,,
Cowlitz,11745,,,,,,,,,,,,,
Washington,11745,,,,,,,,,,,,,
Craig,2212,,,,,,,,,,,,,
Oklahoma,1676,,,,,,,,,,,,,
Virginia,536,,,,,,,,,,,,,
Craighead,27460,,,,,,,,,,,,,
Arkansas,27460,,,,,,,,,,,,,
Crane,2662,,,,,,,,,,,,,
Texas,2662,,,,,,,,,,,,,
Craven,21351,,,,,,,,,,,,,
North Carolina,21351,,,,,,,,,,,,,
Crawford,89420,,,,,,,,,,,,,
Arkansas,7986,,,,,,,,,,,,,
Georgia,3054,,,,,,,,,,,,,
Illinois,1341,,,,,,,,,,,,,
Indiana,2559,,,,,,,,,,,,,
Iowa,41631,,,,,,,,,,,,,
Kansas,9605,,,,,,,,,,,,,
Michigan,5983,,,,,,,,,,,,,
Missouri,1085,,,,,,,,,,,,,
Ohio,9935,,,,,,,,,,,,,
Pennsylvania,3867,,,,,,,,,,,,,
Wisconsin,2374,,,,,,,,,,,,,
Creek,12069,,,,,,,,,,,,,
Oklahoma,12069,,,,,,,,,,,,,
Crenshaw,7667,,,,,,,,,,,,,
Alabama,7667,,,,,,,,,,,,,
Crisp,22661,,,,,,,,,,,,,
Georgia,22661,,,,,,,,,,,,,
Crittenden,45133,,,,,,,,,,,,,
Arkansas,44454,,,,,,,,,,,,,
Kentucky,679,,,,,,,,,,,,,
Crockett,3181,,,,,,,,,,,,,
Tennessee,2266,,,,,,,,,,,,,
Texas,915,,,,,,,,,,,,,
Crook,1266,,,,,,,,,,,,,
Oregon,685,,,,,,,,,,,,,
Wyoming,581,,,,,,,,,,,,,
Crosby,967,,,,,,,,,,,,,
Texas,967,,,,,,,,,,,,,
Cross,5546,,,,,,,,,,,,,
Arkansas,5546,,,,,,,,,,,,,
Crow Wing,6479,,,,,,,,,,,,,
Minnesota,6479,,,,,,,,,,,,,
Crowley,4673,,,,,,,,,,,,,
Colorado,4673,,,,,,,,,,,,,
Culberson,155,,,,,,,,,,,,,
Texas,155,,,,,,,,,,,,,
Culebra,173,,,,,,,,,,,,,
Puerto Rico,173,,,,,,,,,,,,,
Cullman,23607,,,,,,,,,,,,,
Alabama,23607,,,,,,,,,,,,,
Culpeper,54300,,,,,,,,,,,,,
Virginia,54300,,,,,,,,,,,,,
Cumberland,472182,,,,,,,,,,,,,
Illinois,1103,,,,,,,,,,,,,
Kentucky,614,,,,,,,,,,,,,
Maine,117517,,,,,,,,,,,,,
New Jersey,199226,,,,,,,,,,,,,
North Carolina,76096,,,,,,,,,,,,,
Pennsylvania,61434,,,,,,,,,,,,,
Tennessee,12738,,,,,,,,,,,,,
Virginia,3454,,,,,,,,,,,,,
Cuming,2443,,,,,,,,,,,,,
Nebraska,2443,,,,,,,,,,,,,
Currituck,1409,,,,,,,,,,,,,
North Carolina,1409,,,,,,,,,,,,,
Curry,9609,,,,,,,,,,,,,
New Mexico,8991,,,,,,,,,,,,,
Oregon,618,,,,,,,,,,,,,
Custer,8845,,,,,,,,,,,,,
Colorado,269,,,,,,,,,,,,,
Idaho,311,,,,,,,,,,,,,
Montana,1057,,,,,,,,,,,,,
Nebraska,3431,,,,,,,,,,,,,
Oklahoma,3465,,,,,,,,,,,,,
South Dakota,312,,,,,,,,,,,,,
Cuyahoga,485133,,,,,,,,,,,,,
Ohio,485133,,,,,,,,,,,,,
Dade,4010,,,,,,,,,,,,,
Georgia,3955,,,,,,,,,,,,,
Missouri,55,,,,,,,,,,,,,
Dakota,266883,,,,,,,,,,,,,
Minnesota,130251,,,,,,,,,,,,,
Nebraska,136632,,,,,,,,,,,,,
Dale,15310,,,,,,,,,,,,,
Alabama,15310,,,,,,,,,,,,,
Dallam,4315,,,,,,,,,,,,,
Texas,4315,,,,,,,,,,,,,
Dallas,1505816,,,,,,,,,,,,,
Alabama,40531,,,,,,,,,,,,,
Arkansas,458,,,,,,,,,,,,,
Iowa,84012,,,,,,,,,,,,,
Missouri,715,,,,,,,,,,,,,
Texas,1380100,,,,,,,,,,,,,
Dane,117160,,,,,,,,,,,,,
Wisconsin,117160,,,,,,,,,,,,,
Danville city,6549,,,,,,,,,,,,,
Virginia,6549,,,,,,,,,,,,,
Dare,5008,,,,,,,,,,,,,
North Carolina,5008,,,,,,,,,,,,,
Darke,16669,,,,,,,,,,,,,
Ohio,16669,,,,,,,,,,,,,
Darlington,30195,,,,,,,,,,,,,
South Carolina,30195,,,,,,,,,,,,,
Dauphin,133497,,,,,,,,,,,,,
Pennsylvania,133497,,,,,,,,,,,,,
Davidson,734708,,,,,,,,,,,,,
North Carolina,55435,,,,,,,,,,,,,
Tennessee,679273,,,,,,,,,,,,,
Davie,11428,,,,,,,,,,,,,
North Carolina,11428,,,,,,,,,,,,,
Daviess,43042,,,,,,,,,,,,,
Indiana,9493,,,,,,,,,,,,,
Kentucky,33009,,,,,,,,,,,,,
Missouri,540,,,,,,,,,,,,,
Davis,78108,,,,,,,,,,,,,
Iowa,2210,,,,,,,,,,,,,
Utah,75898,,,,,,,,,,,,,
Davison,2433,,,,,,,,,,,,,
South Dakota,2433,,,,,,,,,,,,,
Dawes,153,,,,,,,,,,,,,
Nebraska,153,,,,,,,,,,,,,
Dawson,85157,,,,,,,,,,,,,
Georgia,10867,,,,,,,,,,,,,
Montana,217,,,,,,,,,,,,,
Nebraska,69700,,,,,,,,,,,,,
Texas,4373,,,,,,,,,,,,,
Day,1099,,,,,,,,,,,,,
South Dakota,1099,,,,,,,,,,,,,
De Soto,28050,,,,,,,,,,,,,
Louisiana,28050,,,,,,,,,,,,,
De Witt,590,,,,,,,,,,,,,
Illinois,590,,,,,,,,,,,,,
Deaf Smith,18015,,,,,,,,,,,,,
Texas,18015,,,,,,,,,,,,,
Dearborn,17391,,,,,,,,,,,,,
Indiana,17391,,,,,,,,,,,,,
Decatur,44519,,,,,,,,,,,,,
Georgia,18282,,,,,,,,,,,,,
Indiana,24496,,,,,,,,,,,,,
Iowa,438,,,,,,,,,,,,,
Kansas,28,,,,,,,,,,,,,
Tennessee,1275,,,,,,,,,,,,,
Deer Lodge,390,,,,,,,,,,,,,
Montana,390,,,,,,,,,,,,,
Defiance,3594,,,,,,,,,,,,,
Ohio,3594,,,,,,,,,,,,,
DeKalb,509301,,,,,,,,,,,,,
Alabama,36680,,,,,,,,,,,,,
Georgia,422385,,,,,,,,,,,,,
Illinois,37395,,,,,,,,,,,,,
Indiana,7725,,,,,,,,,,,,,
Missouri,788,,,,,,,,,,,,,
Tennessee,4328,,,,,,,,,,,,,
Del Norte,3174,,,,,,,,,,,,,
California,3174,,,,,,,,,,,,,
Delaware,683122,,,,,,,,,,,,,
Indiana,32891,,,,,,,,,,,,,
Iowa,2370,,,,,,,,,,,,,
New York,7997,,,,,,,,,,,,,
Ohio,37357,,,,,,,,,,,,,
Oklahoma,12582,,,,,,,,,,,,,
Pennsylvania,589925,,,,,,,,,,,,,
Delta,8642,,,,,,,,,,,,,
Colorado,6300,,,,,,,,,,,,,
Michigan,2037,,,,,,,,,,,,,
Texas,305,,,,,,,,,,,,,
Denali Borough,30,,,,,,,,,,,,,
Alaska,30,,,,,,,,,,,,,
Dent,198,,,,,,,,,,,,,
Missouri,198,,,,,,,,,,,,,
Denton,187047,,,,,,,,,,,,,
Texas,187047,,,,,,,,,,,,,
Denver,540104,,,,,,,,,,,,,
Colorado,540104,,,,,,,,,,,,,
Des Moines,5705,,,,,,,,,,,,,
Iowa,5705,,,,,,,,,,,,,
Deschutes,14507,,,,,,,,,,,,,
Oregon,14507,,,,,,,,,,,,,
Desha,3149,,,,,,,,,,,,,
Arkansas,3149,,,,,,,,,,,,,
DeSoto,112452,,,,,,,,,,,,,
Florida,31826,,,,,,,,,,,,,
Mississippi,80626,,,,,,,,,,,,,
Deuel,204,,,,,,,,,,,,,
Nebraska,12,,,,,,,,,,,,,
South Dakota,192,,,,,,,,,,,,,
Dewey,903,,,,,,,,,,,,,
Oklahoma,310,,,,,,,,,,,,,
South Dakota,593,,,,,,,,,,,,,
DeWitt,5054,,,,,,,,,,,,,
Texas,5054,,,,,,,,,,,,,
Dickens,155,,,,,,,,,,,,,
Texas,155,,,,,,,,,,,,,
Dickenson,150,,,,,,,,,,,,,
Virginia,150,,,,,,,,,,,,,
Dickey,185,,,,,,,,,,,,,
North Dakota,185,,,,,,,,,,,,,
Dickinson,11900,,,,,,,,,,,,,
Iowa,10498,,,,,,,,,,,,,
Kansas,624,,,,,,,,,,,,,
Michigan,778,,,,,,,,,,,,,
Dickson,13726,,,,,,,,,,,,,
Tennessee,13726,,,,,,,,,,,,,
Dillingham Census Area,564,,,,,,,,,,,,,
Alaska,564,,,,,,,,,,,,,
Dillon,18065,,,,,,,,,,,,,
South Carolina,18065,,,,,,,,,,,,,
Dimmit,756,,,,,,,,,,,,,
Texas,756,,,,,,,,,,,,,
Dinwiddie,7908,,,,,,,,,,,,,
Virginia,7908,,,,,,,,,,,,,
District of Columbia,796585,,,,,,,,,,,,,
District of Columbia,796585,,,,,,,,,,,,,
Divide,115,,,,,,,,,,,,,
North Dakota,115,,,,,,,,,,,,,
Dixie,4908,,,,,,,,,,,,,
Florida,4908,,,,,,,,,,,,,
Dixon,2942,,,,,,,,,,,,,
Nebraska,2942,,,,,,,,,,,,,
Doña Ana,59836,,,,,,,,,,,,,
